Date,Province,Daily_Case,Daily_Death,Daily_Recovered,Active_Case,Cumulative_Case,Cumulative_Recovered,Cumulative_Death,Cumulative_Active_Case
2020-03-01,DKI JAKARTA,2,0,0,2,2,0,0,2
2020-03-02,DKI JAKARTA,2,0,0,2,4,0,0,4
2020-03-03,DKI JAKARTA,2,0,0,2,6,0,0,6
2020-03-04,DKI JAKARTA,2,0,0,2,8,0,0,8
2020-03-05,DKI JAKARTA,0,1,0,-1,8,0,1,7
2020-03-06,DKI JAKARTA,0,0,0,0,8,0,1,7
2020-03-07,DKI JAKARTA,0,2,0,-2,8,0,3,5
2020-03-08,DKI JAKARTA,0,0,0,0,8,0,3,5
2020-03-09,DKI JAKARTA,0,1,0,-1,8,0,4,4
2020-03-10,DKI JAKARTA,0,0,0,0,8,0,4,4
2020-03-11,DKI JAKARTA,0,0,0,0,8,0,4,4
2020-03-12,DKI JAKARTA,2,1,4,-3,10,4,5,1
2020-03-13,DKI JAKARTA,4,1,3,0,14,7,6,1
2020-03-14,DKI JAKARTA,2,1,1,0,16,8,7,1
2020-03-15,DKI JAKARTA,8,3,0,5,24,8,10,6
2020-03-16,DKI JAKARTA,2,3,0,-1,26,8,13,5
2020-03-17,DKI JAKARTA,2,1,0,1,28,8,14,6
2020-03-18,DKI JAKARTA,1,1,0,0,29,8,15,6
2020-03-19,DKI JAKARTA,2,0,1,1,31,9,15,7
2020-03-20,DKI JAKARTA,5,3,1,1,36,10,18,8
2020-03-21,DKI JAKARTA,8,3,6,-1,44,16,21,7
2020-03-22,DKI JAKARTA,2,0,3,-1,46,19,21,6
2020-03-23,DKI JAKARTA,0,0,0,0,46,19,21,6
2020-03-24,DKI JAKARTA,16,19,3,-6,62,22,40,0
2020-03-25,DKI JAKARTA,1,1,0,0,63,22,41,0
2020-03-26,DKI JAKARTA,57,2,0,55,120,22,43,55
2020-03-27,DKI JAKARTA,74,7,6,61,194,28,50,116
2020-03-28,DKI JAKARTA,48,9,9,30,242,37,59,146
2020-03-29,DKI JAKARTA,52,10,0,42,294,37,69,188
